District Name,District Population,Residential Energy Consumption (MU/year),Residential Energy Consumption (kWh/year),Per Capita Energy Consumption (kWh/year),Source of Energy,Carbon Emission Factor (kg CO2/kWh),Carbon Emissions (kg CO2/year),Carbon Emissions (tons CO2/year),Population Density (per sq. km),Category,Sub-District,Sub-District Population,Emission Limit (kg CO2/year),Emission Limit (kg CO2/month),Low_Threshold,Moderate_Threshold,High_Threshold
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Periyar Nagar (North),24524,1122.321253,93.52677108,46.76338554,84.17409397200001,93.52677108
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Periyar Nagar (South),23619,1080.904652,90.07538767,45.037693835,81.067848903,90.07538767
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Nungambakkam,23476,1074.360371,89.53003092,44.76501546,80.577027828,89.53003092
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Adikesavapuram,19748,903.7514318,75.31261932,37.65630966,67.781357388,75.31261932
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Nehru Nagar,20318,929.8370261,77.48641884,38.74320942,69.737776956,77.48641884
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Chintadripet,17123,783.6204055,65.30170046,32.65085023,58.771530414000004,65.30170046
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Komaleeswaranpet,16338,747.6955081,62.30795901,31.153979505,56.077163109,62.30795901
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Balasubramaniam Nagar,19140,875.9267979,72.99389983,36.496949915,65.694509847,72.99389983
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Thiruvotteeswaranpet,17825,815.7468742,67.97890618,33.98945309,61.181015562,67.97890618
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Dr.Natesan Nagar,11304,517.3185227,43.10987689,21.554938445,38.798889201,43.10987689
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Chepauk,16185,740.6935854,61.72446545,30.862232725,55.552018905,61.72446545
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Zam Bazaar,14375,657.8603824,54.82169853,27.410849265,49.339528677,54.82169853
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Umarupulavar Nagar,23618,1080.858888,90.071574,45.035787,81.0644166,90.071574
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Thiruvallikeni,16014,732.8679071,61.07232559,30.536162795,54.965093031,61.07232559
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Marina,17329,793.0478308,66.08731923,33.043659615,59.478587307000005,66.08731923
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Krishnampet,22285,1019.855209,84.98793408,42.49396704,76.489140672,84.98793408
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Bharathi Nagar,16511,755.6127148,62.96772623,31.483863115,56.670953607,62.96772623
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Azad Nagar (North),17368,794.8326346,66.23605288,33.11802644,59.612447592,66.23605288
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Bharathidasan Nagar,22407,1025.438441,85.45320342,42.72660171,76.907883078,85.45320342
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Azad Nagar (South),11664,533.7936348,44.4828029,22.24140145,40.03452261,44.4828029
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vivekanandapuram,12954,592.8294535,49.40245446,24.70122723,44.462209014,49.40245446
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Anjukam Ammaiyar Nagar,20860,954.6412228,79.55343523,39.776717615,71.59809170700001,79.55343523
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kosapet,17466,799.3175262,66.60979385,33.304896925,59.948814465000005,66.60979385
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Pattalam,15460,707.51454,58.959545,29.4797725,53.0635905,58.959545
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Anbhazhagan Nagar,9545,436.8192939,36.40160783,18.200803915,32.761447047000004,36.40160783
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Perumalpet,12703,581.3426392,48.44521993,24.222609965,43.600697937,48.44521993
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kannappar Nagar,9377,429.1309083,35.76090903,17.880454515,32.184818127,35.76090903
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Dr.Ambedkar Nagar,16595,759.4569076,63.28807563,31.644037815,56.959268067000004,63.28807563
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Chetpet,20897,956.3344982,79.69454152,39.84727076,71.725087368,79.69454152
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Egmore,17965,822.1538623,68.51282186,34.25641093,61.661539674000004,68.51282186
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Pudupet,20023,916.336587,76.36138225,38.180691125,68.72524402500001,76.36138225
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Ko-Si-Mani Nagar,22902,1048.09172,87.34097667,43.670488335,78.606879003,87.34097667
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Nakkeerar Nagar,20042,917.2061068,76.43384223,38.216921115,68.790458007,76.43384223
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Thousand Lights,18546,848.7428628,70.7285719,35.36428595,63.655714710000005,70.7285719
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Azhagiri Nagar,13867,634.6121686,52.88434738,26.44217369,47.595912642,52.88434738
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Amir Mahal,18480,845.7224256,70.4768688,35.2384344,63.429181920000005,70.4768688
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Royapettah,14912,682.4357581,56.86964651,28.434823255,51.182681859000006,56.86964651
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Teynampet,19701,901.6005144,75.1333762,37.5666881,67.62003858,75.1333762
